"Match","MatchTeams","Team","Player","Opponent","Player Opponent","Position","Position Opponent","Champion","Champion Opponent","Kills","Kills Opponent","Deaths","Deaths Opponent","Assists","Assists Opponent","Creep Score","Creep Score Opponent","Gold Earned","Gold Earned Opponent","Champion Damage Share","Champion Damage Share Opponent","Kill Participation","Kills Participation Opponent","Wards Placed","Wards Placed Opponent","Wards Destroyed","Wards Destroyed Opponent","Ward Interactions","Wards interactions Opponent","Dragons For","Dragons For Opponent","Dragons Against","Dragons Againts Opponent","Barons For","Barons For Opponent","Barons Against","Barons Against Opponent","Winner"
"Match12","GSvsUOL","GS","Crazy","UOL","Boss","Top","Top","Gwen","Camille","3","4","1","5","9","3","217","188","12201","11107","0.2","0.17","0.52","0.78","10","8","7","8","17","16","4","0","0","4","1","0","0","1","GS"
"Match12","GSvsUOL","GS","Mojito","UOL","Ahahacik","Jungle","Jungle","Talon","Trundle","5","2","4","4","10","5","194","156","11234","9048","0.23","0.15","0.65","0.78","12","8","8","14","20","22","4","0","0","4","1","0","0","1","GS"
"Match12","GSvsUOL","GS","Bolulu","UOL","Nomanz","Mid","Mid","Twisted Fate","Leblanc","5","1","0","3","13","4","205","216","12737","9245","0.25","0.29","0.78","0.56","17","6","1","9","18","15","4","0","0","4","1","0","0","1","GS"
"Match12","GSvsUOL","GS","Alive","UOL","Argonavt","Adc","Adc","Miss Fortune","Ezreal","9","1","2","5","5","3","273","202","15085","9539","0.27","0.32","0.61","0.44","15","7","5","2","20","9","4","0","0","4","1","0","0","1","GS"
"Match12","GSvsUOL","GS","Zergsting","UOL","Santas","Support","Support","Rakan","Amumu","0","1","2","6","16","4","42","41","7395","6328","0.05","0.07","0.7","0.56","36","40","6","10","42","50","4","0","0","4","1","0","0","1","GS"
"Match6","C9vsDFM1","C9","Fudge","DFM","Evi","Top","Top","Irelia","Gnar","1","1","2","4","4","2","263","191","11834","8931","0.18","0.23","0.38","0.75","14","10","4","4","18","14","4","0","0","4","1","0","0","1","C9"
"Match6","C9vsDFM1","C9","Blaber","DFM","Steal","Jungle","Jungle","Qiyana","Xin Zhao","0","1","1","3","5","1","182","156","9464","8420","0.1","0.19","0.38","0.5","11","11","14","10","25","21","4","0","0","4","1","0","0","1","C9"
"Match6","C9vsDFM1","C9","Perkz","DFM","Aria","Mid","Mid","Sylas","Leblanc","8","1","0","2","2","0","253","219","13774","9378","0.41","0.27","0.77","0.25","10","9","4","6","14","15","4","0","0","4","1","0","0","1","C9"
"Match6","C9vsDFM1","C9","Zven","DFM","Yutapon","Adc","Adc","Miss Fortune","Jhin","3","1","0","0","6","1","299","303","13145","11579","0.22","0.24","0.69","0.5","13","8","9","3","22","11","4","0","0","4","1","0","0","1","C9"
"Match6","C9vsDFM1","C9","Bulcan","DFM","Gaeng","Support","Support","Leona","Alistar","1","0","1","4","9","2","30","27","7332","5451","0.09","0.08","0.77","0.5","49","45","8","6","57","51","4","0","0","4","1","0","0","1","C9"
